sessid,rat,date,tethered,trials_done,prct_hit
565912,T173,03-Jan-2018 00:00:00,0,520,78.0769230769231
566241,T173,05-Jan-2018 00:00:00,0,532,77.0676691729323
566525,T173,06-Jan-2018 00:00:00,0,503,77.3359840954274
566818,T173,07-Jan-2018 00:00:00,0,479,76.4091858037578
567086,T173,08-Jan-2018 00:00:00,0,517,73.8878143133462
567377,T173,09-Jan-2018 00:00:00,0,550,79.2727272727273
567739,T173,10-Jan-2018 00:00:00,0,527,73.4345351043643
568048,T173,11-Jan-2018 00:00:00,0,503,79.324055666004
568360,T173,12-Jan-2018 00:00:00,0,466,77.0386266094421
568626,T173,13-Jan-2018 00:00:00,0,500,80.6
568929,T173,14-Jan-2018 00:00:00,0,370,75.4054054054054
569242,T173,15-Jan-2018 00:00:00,0,466,77.2532188841202
569570,T173,16-Jan-2018 00:00:00,0,424,77.5943396226415
569872,T173,17-Jan-2018 00:00:00,0,543,76.9797421731123
570173,T173,18-Jan-2018 00:00:00,0,432,81.712962962963
570483,T173,19-Jan-2018 00:00:00,0,485,79.1752577319588
570799,T173,20-Jan-2018 00:00:00,0,466,78.755364806867
571094,T173,21-Jan-2018 00:00:00,0,529,81.8525519848771
571409,T173,22-Jan-2018 00:00:00,0,537,75.9776536312849
571708,T173,23-Jan-2018 00:00:00,0,510,78.8235294117647
572004,T173,24-Jan-2018 00:00:00,0,462,79.8701298701299
572282,T173,25-Jan-2018 00:00:00,0,550,77.2727272727273
572594,T173,26-Jan-2018 00:00:00,0,576,77.6041666666667
581895,T176,02-Mar-2018 00:00:00,0,691,89.7250361794501
582167,T176,03-Mar-2018 00:00:00,0,629,93.0047694753577
582719,T176,05-Mar-2018 00:00:00,0,446,87.219730941704
583026,T176,06-Mar-2018 00:00:00,0,734,88.8283378746594
583317,T176,09-Mar-2018 00:00:00,0,786,89.1857506361323
583605,T176,10-Mar-2018 00:00:00,0,705,89.645390070922
583882,T176,11-Mar-2018 00:00:00,0,738,89.9728997289973
584165,T176,12-Mar-2018 00:00:00,0,594,88.7205387205387
584485,T176,13-Mar-2018 00:00:00,0,488,87.5
584802,T176,14-Mar-2018 00:00:00,0,467,90.7922912205567
585114,T176,15-Mar-2018 00:00:00,0,454,87.2246696035242
585426,T176,16-Mar-2018 00:00:00,0,617,88.8168557536467
585714,T176,17-Mar-2018 00:00:00,0,660,89.3939393939394
586032,T176,18-Mar-2018 00:00:00,0,0,NaN
586037,T176,18-Mar-2018 00:00:00,0,685,88.6131386861314
586333,T176,19-Mar-2018 00:00:00,0,689,92.8882438316401
586547,T176,20-Mar-2018 00:00:00,0,852,89.4366197183099
586957,T176,23-Mar-2018 00:00:00,0,276,83.695652173913
587240,T176,24-Mar-2018 00:00:00,0,162,87.037037037037
587533,T176,25-Mar-2018 00:00:00,0,348,84.4827586206897
587853,T176,26-Mar-2018 00:00:00,0,566,88.6925795053003
588167,T176,27-Mar-2018 00:00:00,0,620,88.2258064516129
588469,T176,28-Mar-2018 00:00:00,0,933,88.5316184351554
588756,T176,29-Mar-2018 00:00:00,0,0,NaN
588765,T176,29-Mar-2018 00:00:00,0,379,90.5013192612137
589061,T176,30-Mar-2018 00:00:00,0,916,89.8471615720524
589338,T176,31-Mar-2018 00:00:00,0,470,89.3617021276596
593754,K265,16-Apr-2018 00:00:00,0,252,64.6825396825397
593883,T173,16-Apr-2018 00:00:00,1,1263,76.326207442597
594029,K265,17-Apr-2018 00:00:00,0,275,61.0909090909091
594328,K265,18-Apr-2018 00:00:00,0,149,70.4697986577181
594636,K265,19-Apr-2018 00:00:00,0,234,69.6581196581197
594946,K265,20-Apr-2018 00:00:00,0,137,63.5036496350365
595238,K265,21-Apr-2018 00:00:00,0,195,70.2564102564102
595523,K265,22-Apr-2018 00:00:00,0,250,68
595810,K265,23-Apr-2018 00:00:00,0,341,69.208211143695
596117,K265,24-Apr-2018 00:00:00,0,144,65.2777777777778
596394,K265,25-Apr-2018 00:00:00,0,230,65.6521739130435
596746,K265,26-Apr-2018 00:00:00,0,314,70.7006369426752
597123,K265,27-Apr-2018 00:00:00,0,204,68.1372549019608
597466,K265,28-Apr-2018 00:00:00,0,196,57.6530612244898
597597,T181,28-Apr-2018 00:00:00,0,312,74.3589743589744
597757,K265,29-Apr-2018 00:00:00,0,289,60.2076124567474
597883,T181,29-Apr-2018 00:00:00,0,401,72.8179551122195
598021,K265,30-Apr-2018 00:00:00,0,173,69.9421965317919
598174,T181,30-Apr-2018 00:00:00,0,518,69.4980694980695
598326,K265,01-May-2018 00:00:00,0,176,36.3636363636364
598464,T181,01-May-2018 00:00:00,0,525,70.8571428571428
598617,K265,02-May-2018 00:00:00,0,400,61.75
598755,T181,02-May-2018 00:00:00,0,476,68.2773109243697
598911,K265,03-May-2018 00:00:00,0,285,65.6140350877193
599011,T176,03-May-2018 00:00:00,1,664,84.4879518072289
599063,T181,03-May-2018 00:00:00,0,489,71.5746421267894
599204,K265,04-May-2018 00:00:00,0,143,64.3356643356643
599355,T181,04-May-2018 00:00:00,0,389,69.6658097686375
599511,K265,05-May-2018 00:00:00,0,157,62.4203821656051
599635,T176,05-May-2018 00:00:00,1,307,87.9478827361563
599642,T181,05-May-2018 00:00:00,0,202,79.2079207920792
599777,K265,06-May-2018 00:00:00,0,169,69.8224852071006
599908,T181,06-May-2018 00:00:00,0,398,77.6381909547739
600052,K265,07-May-2018 00:00:00,0,235,68.0851063829787
600224,T181,07-May-2018 00:00:00,0,560,73.2142857142857
600363,K265,08-May-2018 00:00:00,0,184,65.2173913043478
600459,T176,08-May-2018 00:00:00,1,515,87.9611650485437
600510,T181,08-May-2018 00:00:00,0,542,70.8487084870849
600680,K265,09-May-2018 00:00:00,0,234,61.1111111111111
600822,T181,09-May-2018 00:00:00,0,435,71.0344827586207
600964,K265,10-May-2018 00:00:00,0,310,65.8064516129032
601006,T176,10-May-2018 00:00:00,1,553,87.8842676311031
601089,T181,10-May-2018 00:00:00,0,538,73.7918215613383
601224,K265,11-May-2018 00:00:00,0,197,58.8832487309645
601357,T181,11-May-2018 00:00:00,0,609,71.4285714285714
601498,K265,12-May-2018 00:00:00,0,220,64.0909090909091
601624,T181,12-May-2018 00:00:00,0,460,68.0434782608696
601764,K265,13-May-2018 00:00:00,0,231,56.2770562770563
601900,T181,13-May-2018 00:00:00,0,534,75.6554307116105
602034,K265,14-May-2018 00:00:00,0,178,66.8539325842697
602170,T181,14-May-2018 00:00:00,0,551,73.8656987295826
602305,K265,15-May-2018 00:00:00,0,212,64.622641509434
602442,T176,15-May-2018 00:00:00,1,481,89.6049896049896
602446,T181,15-May-2018 00:00:00,0,611,74.6317512274959
602583,K265,16-May-2018 00:00:00,0,201,62.6865671641791
602764,T181,16-May-2018 00:00:00,0,0,NaN
602775,T181,16-May-2018 00:00:00,0,579,73.4024179620035
603065,T181,17-May-2018 00:00:00,0,588,69.3877551020408
603350,T181,18-May-2018 00:00:00,0,534,75.0936329588015
603625,T181,19-May-2018 00:00:00,0,0,NaN
603640,T181,19-May-2018 00:00:00,0,526,69.2015209125475
603900,T181,20-May-2018 00:00:00,0,529,72.9678638941399
604149,T176,21-May-2018 00:00:00,1,438,86.5296803652968
604213,T181,21-May-2018 00:00:00,0,649,65.6394453004623
604478,T181,22-May-2018 00:00:00,0,582,68.0412371134021
604729,T176,23-May-2018 00:00:00,1,541,89.09426987061
605856,T176,28-May-2018 00:00:00,1,621,88.0837359098229
606668,T176,31-May-2018 00:00:00,1,667,90.2548725637181
608468,T176,06-Jun-2018 00:00:00,1,474,90.084388185654
609086,T176,08-Jun-2018 00:00:00,1,605,89.9173553719008
610574,T176,13-Jun-2018 00:00:00,1,546,88.8278388278388
612249,T176,19-Jun-2018 00:00:00,1,545,89.3577981651376
616277,T181,03-Jul-2018 00:00:00,1,578,62.1107266435986
616379,T181,04-Jul-2018 00:00:00,1,542,67.8966789667897
616435,T181,05-Jul-2018 00:00:00,1,283,64.3109540636042
616723,T181,06-Jul-2018 00:00:00,1,613,60.8482871125612
617573,T181,09-Jul-2018 00:00:00,1,351,65.5270655270655
617860,T181,10-Jul-2018 00:00:00,1,455,61.978021978022
618160,T181,11-Jul-2018 00:00:00,1,355,58.8732394366197
618467,T181,12-Jul-2018 00:00:00,1,388,63.9175257731959
618762,T181,13-Jul-2018 00:00:00,1,379,62.0052770448549
619571,T181,16-Jul-2018 00:00:00,1,412,61.8932038834951
621557,T181,23-Jul-2018 00:00:00,1,369,56.9105691056911
621768,T181,24-Jul-2018 00:00:00,1,402,64.1791044776119
622038,T181,25-Jul-2018 00:00:00,1,405,65.4320987654321
622340,T181,26-Jul-2018 00:00:00,1,410,59.2682926829268
623509,T181,30-Jul-2018 00:00:00,1,375,59.2
623801,T181,31-Jul-2018 00:00:00,1,411,56.69099756691
624480,T181,02-Aug-2018 00:00:00,1,278,57.5539568345324
624706,T181,03-Aug-2018 00:00:00,1,310,61.6129032258064
625876,T181,07-Aug-2018 00:00:00,1,397,56.1712846347607
626516,T181,09-Aug-2018 00:00:00,1,315,62.5396825396825
627705,T181,13-Aug-2018 00:00:00,1,328,56.7073170731707
628011,T181,14-Aug-2018 00:00:00,1,330,63.3333333333333
632719,T181,01-Sep-2018 00:00:00,1,314,68.1528662420382
633896,T181,05-Sep-2018 00:00:00,1,311,63.9871382636656
634167,T181,06-Sep-2018 00:00:00,1,432,65.2777777777778
634446,T181,07-Sep-2018 00:00:00,1,260,66.1538461538461
635293,T181,10-Sep-2018 00:00:00,1,280,61.4285714285714
635840,T181,12-Sep-2018 00:00:00,1,192,69.7916666666667
636028,T181,13-Sep-2018 00:00:00,1,281,65.8362989323843
637168,T181,17-Sep-2018 00:00:00,1,280,66.0714285714286
637429,T181,18-Sep-2018 00:00:00,1,302,64.5695364238411
637708,T181,19-Sep-2018 00:00:00,1,326,67.1779141104295
637995,T181,20-Sep-2018 00:00:00,1,353,60.6232294617564
638292,T181,21-Sep-2018 00:00:00,1,252,67.0634920634921
639149,T181,24-Sep-2018 00:00:00,1,266,65.0375939849624
639444,T181,25-Sep-2018 00:00:00,1,270,62.2222222222222
639895,T181,27-Sep-2018 00:00:00,1,340,62.9411764705882
640502,T181,01-Oct-2018 00:00:00,1,234,64.957264957265
640787,T181,02-Oct-2018 00:00:00,1,240,66.6666666666667
640963,T181,03-Oct-2018 00:00:00,1,195,67.6923076923077
641272,T181,04-Oct-2018 00:00:00,1,240,60
648410,T181,29-Oct-2018 00:00:00,1,202,63.3663366336634
648699,T181,30-Oct-2018 00:00:00,1,169,68.0473372781065
648963,T181,31-Oct-2018 00:00:00,1,235,59.1489361702128
649152,T181,01-Nov-2018 00:00:00,1,256,62.5
692375,A242,02-May-2019 00:00:00,0,367,73.841961852861
692682,A242,03-May-2019 00:00:00,0,538,77.1375464684015
692996,A242,04-May-2019 00:00:00,0,452,78.7610619469027
693281,A242,05-May-2019 00:00:00,0,397,77.5818639798489
693601,A242,06-May-2019 00:00:00,0,347,75.7925072046109
693910,A242,07-May-2019 00:00:00,0,303,72.6072607260726
694211,A242,08-May-2019 00:00:00,0,515,77.2815533980583
694518,A242,09-May-2019 00:00:00,0,383,72.5848563968668
694822,A242,10-May-2019 00:00:00,0,322,80.1242236024845
695115,A242,11-May-2019 00:00:00,0,356,76.9662921348315
695402,A242,12-May-2019 00:00:00,0,287,75.9581881533101
695705,A242,13-May-2019 00:00:00,0,321,80.0623052959502
695978,A242,14-May-2019 00:00:00,0,382,79.5811518324607
696289,A242,15-May-2019 00:00:00,0,462,82.2510822510823
696579,A242,16-May-2019 00:00:00,0,516,80.2325581395349
696915,A242,17-May-2019 00:00:00,0,354,83.6158192090395
697200,A242,18-May-2019 00:00:00,0,201,80.5970149253731
699306,A242,26-May-2019 00:00:00,0,1,0
699394,T212,26-May-2019 00:00:00,0,165,73.3333333333333
699584,A242,27-May-2019 00:00:00,0,334,77.2455089820359
699605,K265,27-May-2019 00:00:00,1,253,66.798418972332
699693,T212,27-May-2019 00:00:00,0,399,73.9348370927318
699943,A242,28-May-2019 00:00:00,0,0,NaN
699952,A242,28-May-2019 00:00:00,0,645,78.4496124031008
700031,T212,28-May-2019 00:00:00,0,283,76.3250883392226
700230,A242,29-May-2019 00:00:00,0,7,14.2857142857143
700248,A242,29-May-2019 00:00:00,0,301,78.4053156146179
700339,T212,30-May-2019 00:00:00,0,362,77.3480662983425
700519,A242,30-May-2019 00:00:00,1,205,69.7560975609756
700625,T212,30-May-2019 00:00:00,0,109,69.7247706422018
700851,A242,31-May-2019 00:00:00,1,182,59.8901098901099
700945,T212,01-Jun-2019 00:00:00,0,192,76.0416666666667
700993,A230,01-Jun-2019 00:00:00,0,215,79.5348837209302
701137,A242,01-Jun-2019 00:00:00,0,183,72.1311475409836
701227,T212,01-Jun-2019 00:00:00,0,158,77.2151898734177
701275,A230,02-Jun-2019 00:00:00,0,207,79.7101449275362
701503,T212,02-Jun-2019 00:00:00,0,196,71.9387755102041
701531,A242,03-Jun-2019 00:00:00,1,521,75.4318618042226
701581,A230,05-Jun-2019 00:00:00,0,92,72.8260869565217
701839,T212,05-Jun-2019 00:00:00,0,200,75.5
701885,A230,06-Jun-2019 00:00:00,0,402,65.4228855721393
702123,T212,06-Jun-2019 00:00:00,0,292,77.7397260273973
702187,A230,07-Jun-2019 00:00:00,0,398,82.4120603015075
702446,T212,07-Jun-2019 00:00:00,0,345,75.9420289855072
702495,A230,08-Jun-2019 00:00:00,0,201,78.6069651741294
702628,T212,08-Jun-2019 00:00:00,0,154,75.974025974026
702687,A230,09-Jun-2019 00:00:00,0,217,75.1152073732719
702925,T212,09-Jun-2019 00:00:00,0,134,76.865671641791
702988,A230,10-Jun-2019 00:00:00,0,199,76.3819095477387
703236,T212,10-Jun-2019 00:00:00,0,169,76.9230769230769
703302,A230,11-Jun-2019 00:00:00,0,162,72.2222222222222
703561,T212,11-Jun-2019 00:00:00,0,294,78.9115646258503
703627,A230,12-Jun-2019 00:00:00,0,172,69.7674418604651
703881,T212,12-Jun-2019 00:00:00,0,334,71.5568862275449
703949,A230,13-Jun-2019 00:00:00,0,290,76.551724137931
704193,T212,13-Jun-2019 00:00:00,0,421,75.5344418052257
704266,A230,14-Jun-2019 00:00:00,0,391,77.4936061381074
704511,T212,14-Jun-2019 00:00:00,0,286,74.4755244755245
704577,A230,15-Jun-2019 00:00:00,0,371,81.9407008086253
704813,T212,15-Jun-2019 00:00:00,0,320,73.75
705078,T212,16-Jun-2019 00:00:00,0,193,72.020725388601
705364,T212,17-Jun-2019 00:00:00,0,331,74.3202416918429
705431,A230,18-Jun-2019 00:00:00,0,116,56.8965517241379
705670,T212,18-Jun-2019 00:00:00,0,242,70.6611570247934
705970,T212,19-Jun-2019 00:00:00,0,404,70.5445544554455
706031,A230,20-Jun-2019 00:00:00,0,301,77.7408637873754
706266,T212,20-Jun-2019 00:00:00,0,313,76.038338658147
706335,A230,21-Jun-2019 00:00:00,0,433,79.445727482679
706586,T212,21-Jun-2019 00:00:00,0,400,76
706647,A230,22-Jun-2019 00:00:00,0,285,81.0526315789474
706825,T212,22-Jun-2019 00:00:00,0,313,73.482428115016
706899,A230,23-Jun-2019 00:00:00,0,280,81.4285714285714
707123,T212,23-Jun-2019 00:00:00,0,134,68.6567164179104
707178,A230,24-Jun-2019 00:00:00,0,272,73.5294117647059
707504,A230,25-Jun-2019 00:00:00,0,223,47.085201793722
707788,A230,26-Jun-2019 00:00:00,0,164,73.780487804878
708094,A230,27-Jun-2019 00:00:00,0,0,NaN
708120,A230,27-Jun-2019 00:00:00,0,265,75.0943396226415
708398,A230,28-Jun-2019 00:00:00,0,541,78.18853974122
708710,A230,29-Jun-2019 00:00:00,0,286,75.1748251748252
708995,A230,30-Jun-2019 00:00:00,0,338,78.698224852071
709276,A230,01-Jul-2019 00:00:00,0,225,77.3333333333333
713245,A241,15-Jul-2019 00:00:00,1,285,76.4912280701754
713429,A230,15-Jul-2019 00:00:00,1,143,76.9230769230769
713438,T219,15-Jul-2019 00:00:00,0,365,74.5205479452055
713777,T219,16-Jul-2019 00:00:00,0,414,73.6714975845411
714071,T219,17-Jul-2019 00:00:00,0,445,75.5056179775281
714131,T223,18-Jul-2019 00:00:00,0,537,82.6815642458101
714365,T219,18-Jul-2019 00:00:00,0,436,77.7522935779816
714409,T223,18-Jul-2019 00:00:00,0,471,79.6178343949045
714663,T219,19-Jul-2019 00:00:00,0,428,78.7383177570093
714710,T223,19-Jul-2019 00:00:00,0,539,76.6233766233766
714936,T219,20-Jul-2019 00:00:00,0,413,76.7554479418886
715017,T223,20-Jul-2019 00:00:00,0,423,80.1418439716312
715225,T219,21-Jul-2019 00:00:00,0,451,76.2749445676275
715304,T223,21-Jul-2019 00:00:00,0,357,59.9439775910364
715859,T223,24-Jul-2019 00:00:00,0,373,78.28418230563
716109,T219,24-Jul-2019 00:00:00,0,228,66.2280701754386
